country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","01-05-2025 14:00:00",26.10887,91.589544,CO,1,100,58
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","01-05-2025 14:00:00",26.10887,91.589544,OZONE,10,20,16
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","01-05-2025 14:00:00",26.187500,91.744194,PM2.5,18,99,57
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","01-05-2025 14:00:00",27.308328,84.531742,OZONE,15,45,32
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","01-05-2025 14:00:00",26.63086,84.90051,PM2.5,NA,NA,NA
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","01-05-2025 14:00:00",26.63086,84.90051,SO2,5,17,10
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","01-05-2025 14:00:00",26.63086,84.90051,OZONE,10,12,11
India,Bihar,Munger,"Town Hall, Munger - BSPCB","01-05-2025 14:00:00",25.376776,86.471523,PM2.5,NA,NA,NA
India,Bihar,Munger,"Town Hall, Munger - BSPCB","01-05-2025 14:00:00",25.376776,86.471523,NH3,6,7,6
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","01-05-2025 14:00:00",25.204762,85.514960,SO2,9,10,10
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","01-05-2025 14:00:00",25.204762,85.514960,OZONE,22,40,30
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","01-05-2025 14:00:00",25.567520,83.966379,NH3,4,4,4
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","01-05-2025 14:00:00",25.7808257,84.7446768,NO2,108,138,116
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","01-05-2025 14:00:00",25.7808257,84.7446768,NH3,2,6,3
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","01-05-2025 14:00:00",16.554731,80.649110,PM10,50,70,58
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","01-05-2025 14:00:00",17.72,83.3,PM10,51,185,106
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","01-05-2025 14:00:00",27.103358,93.679645,NO2,4,5,4
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","01-05-2025 14:00:00",16.5150833,80.5181667,PM2.5,8,82,27
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","01-05-2025 14:00:00",26.1209,85.3647,SO2,4,8,5
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","01-05-2025 14:00:00",25.586562,85.043586,PM2.5,47,79,65
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","01-05-2025 14:00:00",25.586562,85.043586,OZONE,8,41,19
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","01-05-2025 14:00:00",25.592539,85.227158,PM2.5,44,80,54
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","01-05-2025 14:00:00",25.592539,85.227158,PM10,66,131,88
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","01-05-2025 14:00:00",25.592539,85.227158,NO2,2,10,6
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","01-05-2025 14:00:00",25.592539,85.227158,NH3,4,12,9
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","01-05-2025 14:00:00",25.610369,85.132568,PM2.5,53,143,81
India,Bihar,Patna,"Muradpur, Patna - BSPCB","01-05-2025 14:00:00",25.619651,85.147382,OZONE,6,41,25
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","01-05-2025 14:00:00",21.224231,81.408350,CO,13,59,30
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","01-05-2025 14:00:00",22.118125,83.140608,NH3,7,7,7
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","01-05-2025 14:00:00",22.118125,83.140608,SO2,1,55,17
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","01-05-2025 14:00:00",22.368195,82.746431,NH3,1,1,1
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","01-05-2025 14:00:00",22.368195,82.746431,CO,25,38,33
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","01-05-2025 14:00:00",22.368195,82.746431,OZONE,21,29,25
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","01-05-2025 14:00:00",22.348441,82.549611,PM10,42,109,75
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","01-05-2025 14:00:00",22.348441,82.549611,NO2,82,88,85
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","01-05-2025 14:00:00",22.348441,82.549611,NH3,1,6,4
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","01-05-2025 14:00:00",25.859655,85.77944,PM2.5,13,58,30
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","01-05-2025 14:00:00",25.859655,85.77944,OZONE,5,13,9
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","01-05-2025 14:00:00",24.952822,84.002396,NO2,2,6,4
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","01-05-2025 14:00:00",26.2271665,84.3570427,NH3,1,1,1
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","01-05-2025 14:00:00",26.2271665,84.3570427,SO2,NA,NA,NA
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","01-05-2025 14:00:00",26.2271665,84.3570427,OZONE,2,56,10
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","01-05-2025 14:00:00",30.735567,76.775714,NH3,20,34,27
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","01-05-2025 14:00:00",28.656756,77.227234,PM2.5,11,206,151
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","01-05-2025 14:00:00",28.656756,77.227234,PM10,92,120,107
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","01-05-2025 14:00:00",28.656756,77.227234,SO2,7,16,11
India,Delhi,Delhi,"DTU, Delhi - CPCB","01-05-2025 14:00:00",28.7500499,77.1112615,SO2,71,82,75
India,Delhi,Delhi,"DTU, Delhi - CPCB","01-05-2025 14:00:00",28.7500499,77.1112615,OZONE,29,50,38
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","01-05-2025 14:00:00",28.5710274,77.0719006,SO2,18,36,27
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","01-05-2025 14:00:00",28.5710274,77.0719006,OZONE,14,179,179
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD","01-05-2025 14:00:00",28.5627763,77.1180053,PM2.5,88,142,113
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","01-05-2025 14:00:00",22.126650,83.483212,NH3,2,2,2
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","01-05-2025 14:00:00",22.1910172,83.5197009,CO,18,51,31
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","01-05-2025 14:00:00",21.258815,81.578979,NH3,7,7,7
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","01-05-2025 14:00:00",21.219665,81.630094,SO2,3,5,4
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","01-05-2025 14:00:00",28.647622,77.3158090,NO2,39,102,56
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","01-05-2025 14:00:00",28.647622,77.3158090,CO,68,98,89
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","01-05-2025 14:00:00",28.695381,77.181665,NO2,16,89,39
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","01-05-2025 14:00:00",28.695381,77.181665,NH3,9,13,10
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD","01-05-2025 14:00:00",28.5512005,77.2735737,PM10,130,205,162
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","01-05-2025 14:00:00",21.237755,81.705301,NO2,9,18,13
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","01-05-2025 14:00:00",21.371751,81.664929,CO,10,37,35
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","01-05-2025 14:00:00",21.371751,81.664929,OZONE,5,26,11
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","01-05-2025 14:00:00",28.647622,77.3158090,PM2.5,48,207,146
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","01-05-2025 14:00:00",30.719859,76.738637,CO,34,70,44
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","01-05-2025 14:00:00",21.194815,81.314770,CO,12,52,24
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","01-05-2025 14:00:00",21.185571,81.343175,NH3,2,2,2
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","01-05-2025 14:00:00",25.366336,87.117468,PM10,NA,NA,NA
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","01-05-2025 14:00:00",25.366336,87.117468,NH3,2,3,3
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","01-05-2025 14:00:00",25.366336,87.117468,OZONE,11,34,23
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","01-05-2025 14:00:00",25.03280,85.41948,OZONE,22,41,34
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD","01-05-2025 14:00:00",28.5627763,77.1180053,OZONE,17,76,43
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","01-05-2025 14:00:00",28.6811736,77.3025234,NO2,4,57,22
India,Delhi,Delhi,"ITO, Delhi - CPCB","01-05-2025 14:00:00",28.628624,77.241060,CO,42,66,50
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","01-05-2025 14:00:00",28.732820,77.170633,PM2.5,98,312,195
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","01-05-2025 14:00:00",28.580280,77.233829,NO2,25,67,40
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","01-05-2025 14:00:00",28.580280,77.233829,SO2,19,35,27
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","01-05-2025 14:00:00",28.580280,77.233829,OZONE,42,134,73
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","01-05-2025 14:00:00",23.016834,72.625775,OZONE,1,117,35
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM","01-05-2025 14:00:00",23.041137,72.456691,CO,16,38,29
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","01-05-2025 14:00:00",23.023389,72.515201,PM10,74,124,99
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","01-05-2025 14:00:00",23.023389,72.515201,NH3,1,3,2
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","01-05-2025 14:00:00",23.076793,72.627874,OZONE,3,46,23
India,Gujarat,Ahmedabad,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM","01-05-2025 14:00:00",23.043070,72.562968,CO,18,57,30
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","01-05-2025 14:00:00",23.107969,72.574648,NH3,2,3,3
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","01-05-2025 14:00:00",23.107969,72.574648,OZONE,8,87,43
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","01-05-2025 14:00:00",22.977134,72.553024,OZONE,32,104,39
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","01-05-2025 14:00:00",23.020509,72.579261,SO2,13,53,28
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","01-05-2025 14:00:00",23.020509,72.579261,CO,24,74,41
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","01-05-2025 14:00:00",23.020509,72.579261,OZONE,4,44,16
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","01-05-2025 14:00:00",23.016834,72.625775,SO2,22,127,50
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM","01-05-2025 14:00:00",23.163798,72.677768,PM10,77,171,119
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM","01-05-2025 14:00:00",23.163798,72.677768,CO,1,44,15
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM","01-05-2025 14:00:00",23.243639,72.68994,PM2.5,67,239,111
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM","01-05-2025 14:00:00",23.243639,72.68994,OZONE,3,88,43
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","01-05-2025 14:00:00",23.221714,72.654328,NH3,3,3,3
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","01-05-2025 14:00:00",28.563262,77.186937,NH3,6,14,9
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","01-05-2025 14:00:00",28.5504249,77.2159377,PM2.5,120,304,182
